timestamp,question_id,lesson,question_type,reason,file_path
2026-06-15T08:47:19.793024,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:19.812951,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:19.836537,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:19.859341,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:19.882774,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:19.904104,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:19.925499,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:19.944542,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:19.966761,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:19.988175,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:20.008629,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:20.028572,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:20.051624,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:20.072412,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:20.093224,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:20.111845,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:20.137206,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:20.159707,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:20.179452,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:20.201681,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:20.223369,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:20.245970,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:20.268533,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:20.290484,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:20.312562,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:20.334899,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:20.374731,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:20.394066,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:20.414879,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:20.436044,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:20.455661,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:20.476798,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:20.499172,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:20.518535,,,HTML_SANITIZER,Removed tag: <sub>,
